iter	CatBoostEvalMetricCustom	Logloss
457	0.7992810327	0.2426417307
458	0.7994222033	0.2426083626
459	0.7992431299	0.2425619915
460	0.79955441	0.242506559
461	0.7995359227	0.2424609723
462	0.7999398677	0.2424139868
463	0.8000200433	0.2423611347
464	0.8001592067	0.2423326748
465	0.8000783377	0.242279563
466	0.8000587769	0.2422319638
467	0.8001373119	0.242190319
468	0.8005108694	0.2421393175
469	0.8004959863	0.2420768092
470	0.8003444452	0.242043805
471	0.800584836	0.2419943856
472	0.8005661569	0.241940755
473	0.8005481577	0.2418944283
474	0.8006276449	0.2418458218
475	0.8007748165	0.2417923427
476	0.8003968528	0.2417508113
477	0.800541402	0.2417037701
478	0.8004926274	0.2416509198
479	0.800606143	0.2416048995
480	0.8006546911	0.2415536507
481	0.8009606362	0.2415102651
482	0.8009747272	0.2414627547
483	0.8008636061	0.2414029128
484	0.8011757975	0.2413477844
485	0.8011929848	0.2412931296
486	0.8012093963	0.2412341349
487	0.801450783	0.2411727349
488	0.8012754844	0.2411119634
489	0.801257165	0.2410668122
490	0.8014954201	0.2410261302
491	0.8014151986	0.240971148
492	0.8015608974	0.2409176508
493	0.8016413383	0.240862176
494	0.801850505	0.2408140993
495	0.8019956721	0.2407655761
496	0.8018483897	0.240713344
497	0.8021533572	0.2406759882
498	0.8022310064	0.2406299321
499	0.8026391452	0.2405771001
500	0.8021674079	0.2405198338
501	0.8023149632	0.2404696702
502	0.8026566054	0.2404125716
503	0.8026087477	0.240358685
504	0.8025615742	0.2403028139
505	0.8023165571	0.2402577404
506	0.8023664454	0.2401942113
507	0.8023459	0.2401544281
508	0.8023937767	0.2401016734
509	0.8026671675	0.2400572116
510	0.8027772722	0.240022034
511	0.80305157	0.2399750881
512	0.8030639485	0.2399386052
513	0.8026536139	0.2398990002
514	0.802835728	0.2398444531
515	0.8029155721	0.23980075
516	0.8028671473	0.239744749
517	0.8027510424	0.2396987249
518	0.8029934434	0.2396522724
519	0.8030070505	0.2396050118
520	0.8030220739	0.2395610551
521	0.8033640236	0.2395018685
522	0.803446572	0.2394476794
523	0.803727016	0.2393867649
524	0.8037441427	0.2393213956
525	0.8040199556	0.239269413
526	0.8038690239	0.2392372938
527	0.8041100071	0.2391882956
528	0.8039943325	0.2391452519
529	0.8041062921	0.2391052326
530	0.8041528104	0.2390577073
531	0.80420304	0.2389972622
532	0.8044532814	0.2389185543
533	0.8045001904	0.2388761757
534	0.8042572949	0.2388202537
535	0.804239908	0.238768979
536	0.8044781546	0.2387274537
537	0.804526257	0.2386765005
538	0.8044158017	0.2386227886
539	0.8045618885	0.2385729287
540	0.8046409723	0.2385278363
541	0.8046197921	0.2384858834
542	0.8046666983	0.2384340962
543	0.8045194103	0.2383822172
